preco,quilometragem,ano,infomacoes
99.990,60.000 Km,2014,Ford Ecosport 2.0 16v Se Flex Powershift 5p
45.000,142.000 Km,2007,Toyota Hilux Sw4 3.0 Srv 4x4 16v Turbo Intercooler
79.990,58.000 Km,2018,Jeep Renegade 1.8 Sport Flex Aut. 5p
70.000,71.000 Km,2017,Hyundai Ix35 2.0 Gls 2wd Flex Aut. 5p
79.900,98.200 Km,2013,Hyundai Ix35 2.0 Gls 2wd Flex Aut. 5p
61.990,0 Km,2020,Volkswagen T-cross 1.0 200 Tsi Aut. 5p
104.990,191.000 Km,2010,Hyundai Tucson 2.0 Gls 4x2 Aut. 5p
31.770,99.000 Km,2011,Ford Edge 3.5 Limited Awd 5p
53.900,104.000 Km,2012,Volvo Xc60 2.0 T5 Comfort 5p
50.990,59.300 Km,2016,Mitsubishi Asx 2.0 4wd Cvt 5p
76.990,3.106 Km,2020,Toyota Hilux Sw4 2.8 Srx 4x4 7 Lugares 16v Turbo Intercooler
314.900,142.000 Km,2010,Land Rover Freelander 3.2 S 5p
35.000,250.000 Km,1997,Jeep Grand Cherokee 5.9 Limited Lx 5p
26.100,24.000 Km,2019,Honda Hr-v 1.8 Lx Flex Aut. 5p
96.870,110.000 Km,2011,Volkswagen Tiguan 2.0 Tsi 16v Turbo
49.000,54.819 Km,2017,Renault Duster 1.6 16v Dynamique Sce 5p
52.900,242.000 Km,2003,Mitsubishi Pajero Tr4 2.0 5p
28.990,44.000 Km,2017,Jeep Compass 2.0 Longitude Flex Aut. 5p
84.999,119.000 Km,2012,Mitsubishi Outlander 3.0 V6 Gt 4wd 5p
47.900,85.000 Km,2018,Renault Duster 1.6 16v Expression Sce 5p
56.900,138.000 Km,2011,Kia Sorento 2.4 Ex 5l 4x2 Aut. 5p
47.990,171.000 Km,2008,Ford Ecosport 2.0 Xlt 16v
203.000,0 Km,2021,Renault Master 2.3 L2h1 2p
136.900,0 Km,2021,Mercedes-benz Sprinter Chassi 2.2 Cdi 314 Street Rs Extra Longo 2p
179.900,0 Km,2021,Mercedes-benz Sprinter Chassi 2.2 Cdi 314 Street Rs Longo 2p
195.900,125.000 Km,2013,Volkswagen Amarok 2.0 Highline Cab. Dupla 4x4 4p Automática
92.900,92.000 Km,2016,Volkswagen Amarok 2.0 Highline Cab. Dupla 4x4 4p
126.900,82.000 Km,2015,Toyota Hilux 2.7 Sr Cab. Dupla 4x2 Flex Aut. 4p
85.899,67.000 Km,2019,Volkswagen Amarok 2.0 Se Cab. Dupla 4x4 4p
127.900,45.000 Km,2020,Volkswagen Saveiro 1.6 Robust Cab. Simples Total Flex 2p
52.500,122.140 Km,1997,Ford Ranger Ranger Xlt 4.0 V6
49.900,185.000 Km,2013,Ford Ranger 2.5 Xls Cab. Simples 4x2 Flex 2p
58.900,0 Km,2021,Fiat Strada 1.3 Volcano Cab. Dupla 16v Flex 4p
86.981,0 Km,2021,Fiat Strada 1.4 Endurance Cab. Plus Flex 2p
64.990,65.000 Km,2019,Chevrolet S10 2.8 Ls 4x4 Cs 16v Turbo
121.900,245.000 Km,2008,Nissan Frontier 2.5 Sel Cab. Dupla 4x4 4p
63.900,0 Km,2021,Fiat Strada Freedom 1.3
77.990,50.000 Km,2020,Ford Ranger 2.2 Xls 4x4 Cd 16v
135.900,0 Km,2020,Volkswagen Amarok 3.0 Highline Extreme Cab. Dupla V6 4x4 Aut. 4p
264.999,122.000 Km,2014,Volkswagen Saveiro 1.6 Cab. Estendida Total Flex 2p
38.400,0 Km,2021,Nissan Frontier Attack
182.778,0 Km,2020,Fiat Toro 2.0 Ranch 4x4 Aut. 4p
142.000,0 Km,2020,Nissan Frontier 2.3 Attack Cab. Dupla 4x4 Aut. 4p
177.900,168.000 Km,2004,Mitsubishi L200 2.5 Sport Hpe Cab. Dupla 4x4 Aut. 4p
48.900,0 Km,2020,Chevrolet Montana Ls 1.4
62.500,167.000 Km,2013,Chevrolet Montana 1.4 Ls Econoflex 2p
29.990,48.728 Km,2019,Fiat Toro Toro Volcano 2.0 Diesel At9 4x4
119.900,100.000 Km,2015,Ford Ranger 3.2 Xlt Cab. Dupla 4x4 Aut. 4p
100.000,183.000 Km,2012,Nissan Frontier 2.5 Se Attack 4x4 Cd Turbo Eletronic
74.900,55.000 Km,2016,Fiat Strada 1.8 16v Adventure Cab. Dupla Flex Dualogic 3p
59.900,244.000 Km,2013,Ford Ranger 3.2 Limited Cab. Dupla 4x4 Aut. 4p
95.000,0 Km,2021,Mercedes-benz Sprinter Chassi 2.2 Cdi 416 Rs Longo 2p
162.900,45.000 Km,2018,Fiat Strada 1.4 Working Flex 2p
39.900,0 Km,2021,Fiat Toro 2.0 Ranch 4x4 Aut. 4p
149.698,31.000 Km,2020,Volkswagen Saveiro 1.6 Trendline Cab. Simples Total Flex 2p
57.980,0 Km,2020,Fiat Toro Toro Ultra Diesel 4x4
151.366,0 Km,2021,Fiat Toro 1.8 16v Freedom Flex 4x2 Aut. 4p
107.626,100.000 Km,2014,Chevrolet Trailblazer 3.6 V6 Ltz 4x4 Aut. 5p
79.800,0 Km,2021,Fiat Toro 2.0 Freedom 4x4 Aut. 4p
132.601,0 Km,2020,Chevrolet S10 2.8 Ltz Cab. Dupla 4x4 Aut. 4p
219.990,290.000 Km,2000,Ford F-250 4.2 Td Xl 2p
62.900,104.302 Km,2013,Volkswagen Saveiro 1.6 Cab. Simples Total Flex 2p
28.500,57.137 Km,2019,Chevrolet S10 2.8 Ltz Cab. Dupla 4x4 Aut. 4p
165.000,70.200 Km,2019,Chevrolet Montana 1.4 Ls Econoflex 2p
38.910,17.000 Km,2020,Volkswagen Amarok 2.0 Comfortline Cab. Dupla 4x4 Aut. 4p
185.900,140.000 Km,2009,Ford Ranger 2.3 Xlt 16v 4x2 Cd
39.890,260.253 Km,2012,Fiat Strada 1.4 Working Flex 2p
26.990,240.000 Km,2006,Dodge Ram 2500 5.9 Cab. Dupla 4x4 4p
90.000,92.000 Km,2013,Toyota Hilux 2.7 Sr Cab. Dupla 4x2 Flex Aut. 4p
80.990,173.000 Km,2001,Volkswagen Saveiro 1.8 2p
95.990,0 Km,2020,"Mercedes-benz Sprinter Furgão 2.2 Cdi 416 Longo Teto Alto 10,5m3 5p"
172.900,0 Km,2021,Renault Master 2.3 L1h1 5p
149.900,0 Km,2021,Renault Master Refrigerada - 10graus
166.900,0 Km,2021,Fiat Ducato 2.3 (13m3) 5p
159.900,0 Km,2021,Renault Master 2.3 Extra L3h2 5p
159.900,0 Km,2021,Fiat Ducato Chassi
154.900,0 Km,2021,Fiat Ducato Chassi Báu Carga Seca
139.900,0 Km,2021,Peugeot Expert Furgão
136.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
151.900,0 Km,2021,Citroën Jumpy Furgão
129.900,0 Km,2020,Fiat Ducato Chassi
134.900,0 Km,2019,Renault Master 2.3 L1h1 5p
135.900,0 Km,2020,Fiat Ducato 2.3 (13m3) 5p
159.900,0 Km,2021,Fiat Ducato 2.3 (13m3) 5p
166.900,0 Km,2021,"Mercedes-benz Sprinter Furgão 2.2 Cdi 416 Longo Teto Alto 10,5m3 5p"
203.900,0 Km,2021,Renault Master 2.3 L1h1 5p
145.900,0 Km,2021,Renault Master 2.3 L1h1 5p
145.900,0 Km,2021,"Mercedes-benz Sprinter Furgão 2.2 314 Street Cdi Longo Teto Alto 10,5m3 5p"
185.900,0 Km,2021,Fiat Ducato Chassi Báu Carga Seca
154.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
151.900,0 Km,2019,Fiat Ducato Furgão
153.900,0 Km,2021,Fiat Ducato 2.3 Curto (8m3) 5p
147.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
194.900,0 Km,2019,Fiat Ducato 2.3 Médio (10m3) 5p
179.900,0 Km,2021,"Mercedes-benz Sprinter Furgão 2.2 Cdi 416 Longo Teto Alto 10,5m3 5p"
165.900,0 Km,2020,Fiat Ducato 2.3 Curto (8m3) 5p
157.900,0 Km,2021,Renault Master 2.3 L1h1 5p
157.900,0 Km,2020,Peugeot Expert Business
139.900,0 Km,2021,Citroën Jumpy Furgão Furgão
129.900,0 Km,2021,Renault Master 2.3 Extra L3h2 5p
189.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
151.900,0 Km,2021,Fiat Ducato 2.3 (13m3) 5p
159.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
159.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
194.900,0 Km,2021,Renault Master 2.3 Extra L3h2 5p
159.900,0 Km,2020,Fiat Ducato Chassi
134.900,0 Km,2021,Renault Master 2.3 Extra L3h2 5p
179.900,0 Km,2021,Fiat Ducato 2.3 (13m3) 5p
159.900,0 Km,2021,Renault Master 2.3 L1h1 5p
145.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
134.900,10 Km,2021,Renault Master 2.3 Grand L2h2 5p
166.900,0 Km,2021,Peugeot Expert Furgão
136.900,0 Km,2021,Renault Master 2.3 Grand L2h2 5p
194.900,0 Km,2021,Renault Master 2.3 L1h1 5p
145.900,132.416 Km,2015,Fiat Ducato 2.3 Multijet Teto Alto Economy 5p
116.900,0 Km,2021,"Mercedes-benz Sprinter Furgão 2.2 Cdi 314 Street Longo Teto Alto 10,5m3 5p"
185.900,0 Km,2020,Peugeot Expert Business
139.900,0 Km,2020,Peugeot Expert Business
299.990,0 Km,2020,Mercedes-benz Sprinter Van Executiva
184.900,0 Km,2019,Mercedes-benz Sprinter Van 2.2 Cdi 515 Teto Alto 5p
199.900,0 Km,2021,Renault Master 2.3 Executive L3h2 16l 5p
210.900,0 Km,2019,Fiat Ducato 2.3 Comfort (15l) 5p
194.900,250.855 Km,2004,Peugeot Boxer Minibus 2.8 Td 16l 5p
43.900,0 Km,2019,Mercedes-benz Sprinter Van Executiva Longa
173.900,280.000 Km,2010,Renault Master 2.5 Dci L2h2 16l 5p
69.900,0 Km,2019,Fiat Ducato 2.3 Executivo (15l) 5p
194.900,1 Km,2012,Fiat Ducato 2.3 Multijet Longo Teto Alto Economy 5p
87.900,0 Km,2019,Fiat Ducato 2.3 Comfort El (15l) 5p
194.900,105.000 Km,2014,Fiat Ducato 2.3 Multijet Economy 5p
99.900,1 Km,2016,Renault Master 2.3 Executive L3h2 16l 5p
139.900,132.416 Km,2015,Fiat Ducato 2.3 Multijet Longo Teto Alto Economy 5p
116.900,0 Km,2020,Fiat Ducato Executiva
188.900,111.360 Km,2014,Citroën Jumper 2.3 Hdi 33m 15l 5p
84.900,0 Km,2020,Renault Master 2.3 Executive L3h2 16l 5p
162.900,0 Km,2021,Mercedes-benz Sprinter Van 2.2 Cdi 416 Longo (16l) 5p
193.900,100 Km,2014,Fiat Ducato Escolar Escolar 20 Lugares
95.900,294.679 Km,2008,Citroën Jumper 2.8 Hdi 16l 5p
59.900,166.000 Km,2013,Fiat Ducato 2.3 Multijet Economy 5p
94.900,1 Km,2013,Peugeot Boxer Minibus 2.3 Hdi 350lh Longo 15l 5p
96.900,255.000 Km,2012,Fiat Ducato Escolar
89.900,100 Km,2014,Citroën Jumper 2.3 Hdi 16l 5p
89.900,1 Km,2016,Peugeot Boxer Minibus 2.3 Hdi 350lh Longo 15l 5p
94.900,0 Km,2020,Mercedes-benz Sprinter Van Executiva
223.900,1 Km,2014,Fiat Ducato 2.3 Multijet Longo Teto Alto Economy 5p
107.900,764.000 Km,2010,Peugeot Boxer Minibus 2.3 Hdi 330m Médio 15l 5p
64.900,849.386 Km,2014,Fiat Ducato Escolar
89.900,100 Km,2014,Fiat Ducato Escolar 20 Lugares
95.900,122.040 Km,2015,Fiat Ducato Escolar
115.900,205.500 Km,2013,Fiat Ducato Escolar
97.900,100 Km,2014,Fiat Ducato Escolar Escolar 20 Lugares
95.900,100 Km,2014,Fiat Ducato Escolar 20 Lugares
95.900,320.000 Km,2001,Kia Besta 3.0 Gs Grand 16l 4p
22.900,239.437 Km,2018,Mercedes-benz Sprinter Van 2.2 Cdi 415 Luxo Teto Alto 5p
185.000,503.000 Km,2008,Mercedes-benz Sprinter Van 2.2 Cdi 313 Executiva 5p
57.900,48.000 Km,2009,Volkswagen Kombi 1.4 Standard Total Flex 3p
50.000,320.600 Km,2009,Volkswagen Kombi 1.4 Lotação Total Flex 3p
25.000,115.000 Km,2015,Renault Master 2.3 Executive L3h2 16l 5p
120.000,89.000 Km,1999,Volkswagen Kombi 1.6 Std 3p Gasolina
29.700,0 Km,2020,Mercedes-benz Sprinter Van 2.2 Cdi 416 Longo Teto Alto (16l) 5p
189.900,381.987 Km,2016,Mercedes-benz Sprinter Van 2.2 Cdi 415 Luxo Teto Alto 5p
149.000,325.000 Km,2006,Volkswagen Kombi 1.4 Standard Total Flex 3p
16.000,49.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
54.900,507.758 Km,2009,Mercedes-benz Sprinter Van 2.2 Cdi 413 Luxo Teto Alto Rd 5p
82.000,500.000 Km,2007,Citroën Jumper Citroën Jumper 2.8 Passageiro M33m 16l
55.000,466.000 Km,1998,Fiat Ducato 2.5 Van Passageiros 5p
25.900,389.000 Km,2004,Kia Besta 3.0 Gs Grand 16l 4p
40.900,16.000 Km,2018,Honda Fit 1.5 Exl Flex Aut. 5p
77.990,112.000 Km,2012,Citroën Aircross 1.6 16v Exclusive Flex 5p
37.889,93.000 Km,2011,Fiat Idea 1.8 16v Adventure Flex 5p
33.889,66.000 Km,2015,Honda Fit 1.5 Lx Flex Aut. 5p
49.990,86.429 Km,2016,Chevrolet Spin 1.8 Activ 5l Aut. 5p
49.900,59.270 Km,2019,Peugeot 2008 1.6 16v Allure Flex Aut. 5p
53.690,105.000 Km,2014,Citroën Aircross 1.6 16v Glx Atacama Flex 5p
35.900,41.000 Km,2017,Peugeot 2008 1.6 16v Griffe Flex Aut. 5p
51.980,46.000 Km,2018,Honda Fit 1.5 Ex Flex Aut. 5p
69.900,382.000 Km,2004,Fiat Doblo 1.8 Adventure 5p
22.990,184.000 Km,2009,Honda Fit 1.4 Lx Flex 5p
25.900,68.000 Km,2014,Honda Fit 1.5 Ex Flex Aut. 5p
46.500,91.000 Km,2014,Chevrolet Spin 1.8 Lt 5l Aut. 5p
36.500,80.000 Km,2005,Honda Fit 1.4 Lxl Aut. 5p
26.900,207.000 Km,2007,Chevrolet Meriva Meriva Maxx 1.8 (flex)
18.870,92.000 Km,2015,Chevrolet Spin 1.8 Ltz 7l Aut. 5p
48.900,135.000 Km,2008,Chevrolet Meriva 1.8 Premium Flex Power Easytronic 5p
21.000,140.000 Km,2013,Honda Fit 1.4 Dx Flex 5p
33.490,104.000 Km,2009,Mercedes-benz Classe B 2.0 5p
26.200,11.200 Km,2020,Chevrolet Spin 1.8 Lt 5l Aut. 5p
71.500,1.600 Km,2020,Honda Fit 1.5 Ex Flex Aut. 5p
85.900,116.000 Km,2010,Honda Fit 1.4 Lx Flex 5p
31.990,139.000 Km,2011,Citroën Aircross 1.6 16v Exclusive Flex 5p
31.990,149.000 Km,2016,Peugeot 2008 1.6 16v Griffe Flex 5p
44.990,31.800 Km,2020,Chevrolet Spin 1.8 Activ 7l Aut. 5p
81.890,85.000 Km,2007,Mercedes-benz Classe B 2.0 Turbo 5p
34.800,180.000 Km,2006,Honda Fit 1.4 Lx 5p
19.490,189.000 Km,2004,Mercedes-benz Classe A 1.6 Classic 5p
13.999,65.000 Km,2015,Bmw 225i 2.0 Cat Sport Gp 16v Turbo Gasolina 4p Automático
90.999,91.000 Km,2013,Fiat Idea 1.6 16v Essence Flex Dualogic 5p
28.300,73.800 Km,2009,Chrysler Pt Cruiser 2.4 Classic 5p
24.999,90.900 Km,2005,Honda Fit 1.4 Lx 5p
21.900,45.320 Km,2017,Peugeot 2008 1.6 16v Allure Business Flex Aut. 5p
53.890,109.000 Km,2013,Chevrolet Spin 1.8 Ltz 7l Aut. 5p
41.900,48.000 Km,2018,Chevrolet Spin 1.8 Advantage 5l Aut. 5p
58.900,104.000 Km,2012,Fiat Idea 1.4 Attractive Flex 5p
27.500,86.000 Km,2011,Citroën Aircross 1.6 16v Exclusive Flex 5p
30.990,88.200 Km,2011,Fiat Idea 1.8 16v Sporting Flex 5p
29.000,98.000 Km,2015,Honda Fit 1.5 Lx Flex Aut. 5p
50.500,118.000 Km,2013,Honda Fit 1.4 Lx Flex 5p
36.900,1 Km,2011,Fiat Idea 1.6 16v Essence Flex Dualogic 5p
24.900,1 Km,2012,Chevrolet Meriva 1.4 Joy Econoflex 5p
22.500,135.000 Km,2014,Chevrolet Spin 1.8 Lt 5l 5p
33.990,110.000 Km,2009,Honda Fit 1.4 Lxl Flex 5p
30.800,79.000 Km,2015,Mercedes-benz Classe A 2.0 Sport Turbo 5p
120.000,45.000 Km,2018,Chevrolet Spin 1.8 Activ 5l Aut. 5p
59.900,36.000 Km,2017,Honda Fit 1.5 Lx Flex Aut. 5p
62.800,152.000 Km,2009,Honda Fit 1.4 Lxl Flex 5p
115.490,0 Km,2020,Peugeot Expert Minibus 1.6 (11l) Td Blue Hdi 5p
159.900,0 Km,2021,Citroën Jumpy Passageiro
163.900,1 Km,2015,Jinbei Topic Van 2.0 16v Sl 4p
49.900,116.271 Km,2012,Jinbei Topic Escolar 2.0 16v L 4p
27.900,104.000 Km,2008,Citroën Xsara Picasso 1.6 Glx Flex 5p
16.990,0 Km,2021,Citroën Jumpy Minibus
163.900,144.000 Km,2009,Chevrolet Zafira 2.0 Expression Flex Power Aut. 5p
29.990,100 Km,2015,Fiat Freemont 2.4 Precision 5p Automática
74.900,90.000 Km,2011,Nissan Livina 1.6 S Flex 5p
26.990,0 Km,2020,Peugeot Expert Minibus
159.900,1 Km,2007,Citroën Jumper Escolar
53.900,98.884 Km,2012,Volkswagen Kombi Food Truck
55.000,47.600 Km,2020,Fiat Doblo 1.8 16v Essence 7l Flex 5p
81.879,69.000 Km,2012,Jac J6 2.0 16v Diamond 7l 5p
26.490,112.521 Km,2015,Jac J6 2.0 16v Diamond 7l Jetflex 5p
37.900,1 Km,2012,Chevrolet Zafira 2.0 Comfort Flex Power 5p
25.991,0 Km,2020,Honda Fit 1.5 Ex 16v
