preco,quilometragem,ano,infomacoes
30.900,75.000 Km,2012,Citroën C3 Picasso 1.6 16v Exclusive Flex Aut. 5p
49.900,50.000 Km,2016,Citroën Aircross 1.6 16v Shine Flex Aut. 5p
20.900,139.000 Km,2012,Citroën C3 Picasso 1.6 16v Glx Flex 5p
34.990,47.000 Km,2017,Citroën C3 1.2 Origine Ptech Flex 5p
34.900,114.807 Km,2013,Citroën Aircross Glx 1.6 16v Flex
49.900,58.478 Km,2018,Citroën Aircross Aircross Live Bva 1.6 16v (flex)
40.900,94.477 Km,2017,Citroën C3 C3 Tendance 1.5 8v (flex)
20.900,88.000 Km,2010,Citroën C3 C3 Glx 1.4 8v (flex)
36.899,94.300 Km,2015,Citroën Aircross 1.6 Tendance 16v Flex 4p Manual
27.990,100 Km,2012,Citroën C3 1.6 16v Exclusive Flex Aut. 5p
68.990,75.000 Km,2019,Citroën C4 Cactus 1.6 Feel 16v 5p
72.900,36.268 Km,2020,Citroën C4 Cactus C4 Cactus 1.6 Feel (aut)
19.890,129.000 Km,2010,Citroën C3 1.4 8v Exclusive Flex 5p
23.990,119.336 Km,2012,Citroën C3 1.4 I Exclusive 8v Flex 4p Manual
25.877,97.000 Km,2010,Citroën C4 Pallas 2.0 Exclusive Flex Aut. 4p
27.900,117.000 Km,2013,Citroën C4 C4 Glx 1.6 (flex)
26.890,140.000 Km,2009,Citroën C4 Picasso C4 Picasso 2.0 16v
56.990,89.000 Km,2017,Citroën C4 Lounge 1.6 Exclusive 16v Turbo Flex 4p Automático
70.990,14.000 Km,2020,Citroën C4 Cactus 1.6 Vti 120 Feel Business Eat6
30.990,999 Km,2011,Citroën Aircross 1.6 16v Exclusive Flex 5p
45.950,74.250 Km,2015,Citroën C4 Lounge 1.6 Thp Tendance Flex Aut. 4p
55.900,40.000 Km,2017,Citroën Aircross 1.6 16v Feel Flex Aut. 5p
34.900,52.500 Km,2013,Citroën C3 Picasso Exclusive 1.6
45.900,57.750 Km,2018,Citroën Aircross Aircross 1.6 16v Start (flex)
33.900,72.226 Km,2014,Citroën C3 Picasso C3 Picasso Glx Bva 1.6 16v (flex) (aut)
57.900,90.000 Km,2017,Citroën C4 Lounge 1.6 Thp Tendance Flex Aut. 4p
46.900,43.000 Km,2017,Citroën Aircross 1.6 16v Feel Flex 5p
94.990,0 Km,2020,Citroën C4 Cactus 1.6 Feel 16v Aut. 5p
19.890,129.000 Km,2010,Citroën C3 1.4 8v Exclusive Flex 5p
23.990,119.336 Km,2012,Citroën C3 1.4 I Exclusive 8v Flex 4p Manual
21.890,106.000 Km,2011,Citroën C3 Glx 1.4 Flex Completo + Couro
25.877,97.000 Km,2010,Citroën C4 Pallas 2.0 Exclusive Flex Aut. 4p
27.900,117.000 Km,2013,Citroën C4 C4 Glx 1.6 (flex)
26.890,140.000 Km,2009,Citroën C4 Picasso C4 Picasso 2.0 16v
56.990,89.000 Km,2017,Citroën C4 Lounge 1.6 Exclusive 16v Turbo Flex 4p Automático
70.990,14.000 Km,2020,Citroën C4 Cactus 1.6 Vti 120 Feel Business Eat6
30.990,999 Km,2011,Citroën Aircross 1.6 16v Exclusive Flex 5p
27.900,101.000 Km,2012,Citroën C3 Picasso 1.6 16v Glx Flex 5p
45.950,74.250 Km,2015,Citroën C4 Lounge 1.6 Thp Tendance Flex Aut. 4p
38.990,58.000 Km,2015,Citroën C3 1.5 Tendance Flex 5p
42.490,39.000 Km,2015,Citroën C3 Picasso Tendance 1.5 Flex 8v 5p Mec
55.900,40.000 Km,2017,Citroën Aircross 1.6 16v Feel Flex Aut. 5p
34.900,52.500 Km,2013,Citroën C3 Picasso Exclusive 1.6
30.890,64.000 Km,2013,Citroën C3 1.6 Vti 16v Exclusive Flex 5p
39.900,59.000 Km,2015,Citroën Aircross 1.6 16v Tendance Flex 5p
45.900,57.750 Km,2018,Citroën Aircross Aircross 1.6 16v Start (flex)
31.900,70.007 Km,2013,Citroën C3 1.5 Tendance Flex 5p
36.990,56.100 Km,2017,Citroën C3 1.2 Origine Ptech Flex 5p
33.900,72.226 Km,2014,Citroën C3 Picasso C3 Picasso Glx Bva 1.6 16v (flex) (aut)
18.900,999.999 Km,2008,Citroën C3 C3 Glx 1.4 8v (flex)
28.900,97.900 Km,2012,Citroën C3 Picasso 1.6 16v Glx Flex 5p
57.900,90.000 Km,2017,Citroën C4 Lounge 1.6 Thp Tendance Flex Aut. 4p
20.999,173.000 Km,2012,Citroën Xsara Picasso 1.6 Glx Flex 5p
46.900,43.000 Km,2017,Citroën Aircross 1.6 16v Feel Flex 5p
94.990,0 Km,2020,Citroën C4 Cactus 1.6 Feel 16v Aut. 5p
20.900,147.399 Km,2010,Citroën Xsara Picasso Exclusive 1.6 16v (flex)
34.890,93.000 Km,2013,Citroën Aircross 1.6 16v Glx Atacama Flex 5p
32.899,87.000 Km,2014,Citroën C3 1.5 Tendance Flex 5p
23.900,129.000 Km,2011,Citroën C4 Pallas 2.0 Glx Flex Aut. 4p
35.900,72.000 Km,2014,Citroën Aircross 1.6 16v Glx Flex 5p
30.999,120.000 Km,2013,Citroën C3 Picasso 1.5 Glx Flex 5p
18.900,121.604 Km,2008,Citroën C3 1.4 8v Glx Flex 5p
39.990,49.000 Km,2018,Citroën C3 1.2 Pure Tech Flex Origine Manual
26.990,999.999 Km,2012,Citroën C3 C3 Exclusive 1.6 16v (flex)(aut)
18.900,117 Km,2010,Citroën C3 1.4 8v Glx Flex 5p
35.900,47.000 Km,2015,Citroën C3 Picasso 1.5 Tendance Flex 5p
27.990,89.500 Km,2010,Citroën C4 Picasso 2.0 5p
20.900,127.000 Km,2012,Citroën C3 1.4 8v Exclusive Flex 5p
34.900,80.000 Km,2013,Citroën C3 Exclusive 1.6i 16v Flex
129.990,0 Km,2020,Citroën Jumpy 1.6 Pack Td Blue Hdi 5p
20.000,150 Km,2009,Citroën Xsara Picasso 2.0 Exclusive Aut. 5p
34.900,93.050 Km,2013,Citroën Aircross Exclusive Automático
14.916,90.000 Km,2006,Citroën C3 1.4 8v Glx 5p
69.900,21.345 Km,2020,Citroën C4 Cactus 1.6 Vti 120 Flex Feel Manual
49.900,43.000 Km,2017,Citroën Aircross 1.6 16v Live Flex Aut. 5p
21.990,166.000 Km,2011,Citroën C3 1.4 8v Glx Flex 5p
136.900,0 Km,2021,Renault Master 2.3 L2h1 2p
149.900,0 Km,2021,Renault Master 2.3 L1h1 5p
166.900,0 Km,2021,Renault Master Refrigerada - 10graus
210.900,0 Km,2021,Renault Master 2.3 Executive L3h2 16l 5p
159.900,0 Km,2021,Renault Master 2.3 Extra L3h2 5p
135.900,0 Km,2019,Renault Master 2.3 L1h1 5p
