marca,modelo,preco,quilometragem,ano,informacoes,motor
Chevrolet,Agile,25900.0,80000.0,2012,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,24990.0,91000.0,2011,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,25900.0,141500.0,2011,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,30990.0,87469.0,2013,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,25490.0,172000.0,2012,Agile Chevrolet Agile 1.4 4p Ltz Econoflex,1.4
Chevrolet,astra,27990.0,143000.0,2009,Astra 2.0 Advantage Flex Power 5p 133 Hp,2.0
Chevrolet,astra,23900.0,140000.0,2003,Astra Astra 2.0 Sfi Gsi 16v Gasolina 4p Manual,2.0
Chevrolet,astra,27990.0,105000.0,2009,Astra 2.0 Advantage Flex Power Aut. 5p 121 Hp,2.0
Chevrolet,astra,22990.0,98000.0,2010,Astra 2.0 Mpfi Advantage Sedan 8v,2.0
Chevrolet,astra,27900.0,112000.0,2011,Astra Sedan Astra Advantage 2.0 Mpfi 8v Flexpower 5p,2.0
Chevrolet,astra,26900.0,43322.0,2007,Astra 2.0 Advantage Flex Power 5p,2.0
Chevrolet,astra,22900.0,142000.0,2009,Astra Astra Hatch Advantage 2.0 (flex),2.0
Chevrolet,astra,23900.0,130000.0,2011,Astra Sedan 2.0 Advantage Flex Power 4p,2.0
Chevrolet,astra,28990.0,82000.0,2001,Astra 2.0 Mpfi Sport 8v,2.0
Chevrolet,astra,30900.0,154000.0,2011,Astra 2.0 Mpfi Advant 8v,2.0
Chevrolet,astra,19990.0,244.0,2008,Astra 2.0 Advantage Flex Power 5p,2.0
Chevrolet,astra,18899.0,124000.0,2002,Astra 2.0 16v 3p,2.0
Chevrolet,astra,24000.0,123000.0,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp,2.0
Chevrolet,astra,24990.0,168337.0,2009,Astra 2.0 Especial Advantage Flex Power 5p 121 Hp,2.0
Chevrolet,astra,26000.0,120000.0,2008,Astra Sedan 2.0 Advantage Flex Power 4p,2.0
Chevrolet,astra,16900.0,239429.0,1999,Astra Sedan 2.0 Gls 4p,2.0
Chevrolet,astra,25900.0,123633.0,2010,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,18900.0,190000.0,2002,Astra Sedan 2.0 8v 4p,2.0
Chevrolet,astra,21900.0,95000.0,2005,Astra 2.0 Comfort Flex Power 5p,2.0
Chevrolet,astra,19300.0,72000.0,2005,Astra Sedan 1.8 Comfort 4p,1.8
Chevrolet,astra,31989.0,40000.0,2009,Astra Chevrolet Astra Hatch Advantage 2.0 (flex),2.0
Chevrolet,astra,20900.0,232240.0,2007,Astra Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,23900.0,1.0,2006,Astra Astra 2.0 Mpfi Elegance 8v Flex 4p Manual,2.0
Chevrolet,astra,28900.0,109900.0,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,54140.0,105365.0,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,18900.0,142567.0,2003,Astra 2.0 Mpfi Cd 8v Gasolina 4p Manual,2.0
Chevrolet,astra,22990.0,136500.0,2007,Astra Sedan Astra Sed.advantage 2.0mpfi 16v  4p,
Chevrolet,astra,23990.0,251156.0,2005,Astra 2.0 Mpfi Elite Sedan 8v,2.0
Chevrolet,astra,21900.0,999999.0,2007,Astra Sedan Astra Sedan Advantage 2.0 (flex),2.0
Chevrolet,astra,26900.0,132000.0,2011,Astra Sedan Astra Sedan Advantage,
Chevrolet,astra,19900.0,152000.0,2006,Astra 2.0 Mpfi Elegance Sedan 8v Flex 4p Automático,2.0
Chevrolet,astra,21500.0,1.0,2010,Astra 1.6,1.6
Chevrolet,astra,13900.0,179000.0,2000,Astra Sedan 2.0 Mpfi Gls Sedan 8v,2.0
Chevrolet,astra,25000.0,0.0,2008,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,15900.0,170000.0,2002,Astra Sedan 2.0 Automática,2.0
Chevrolet,astra,19900.0,179000.0,2007,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,19000.0,169000.0,2007,Astra 2.0 Advantage Flex Power 3p,2.0
Chevrolet,astra,24900.0,87000.0,2009,Astra Sedan 2.0 Advantage Flex Power Aut. 4p 121 Hp,2.0
Chevrolet,astra,15890.0,100000.0,2001,Astra Sedan Chevrolet Astra Sedan 1.8 Milenium 4p,1.8
Chevrolet,astra,21899.0,193000.0,2007,Astra Astra Hatch Advantage 2.0 (flex) (aut),2.0
Chevrolet,astra,24998.0,98000.0,2009,Astra 2.0 Mpfi Advantage 8v,2.0
Chevrolet,astra,13000.0,170000.0,2006,Astra 2.0 Ss Flex Power 5p,2.0
Chevrolet,astra,23900.0,175280.0,2009,Astra Astra Hatch Advantage 2.0 8v 4p,2.0
Chevrolet,astra,28990.0,152946.0,2010,Astra Astra Hb 4p Advantage,
Chevrolet,astra,10900.0,0.0,2001,Astra 1.8 Gl 3p,1.8
Chevrolet,astra,17500.0,154000.0,2006,Astra 2.0 Elite Flex Power Aut. 5p,2.0
Chevrolet,astra,20000.0,120000.0,2007,Astra Sedan Advantage,
Chevrolet,astra,24900.0,87000.0,2009,Astra Sedan 2.0 Advantage Flex Power Aut. 4p 121 Hp,2.0
Chevrolet,astra,19000.0,169000.0,2007,Astra 2.0 Advantage Flex Power 3p,2.0
Chevrolet,astra,15890.0,100000.0,2001,Astra Sedan Chevrolet Astra Sedan 1.8 Milenium 4p,1.8
Chevrolet,astra,21899.0,193000.0,2007,Astra Astra Hatch Advantage 2.0 (flex) (aut),2.0
Chevrolet,astra,24998.0,98000.0,2009,Astra 2.0 Mpfi Advantage 8v,2.0
Chevrolet,astra,13000.0,170000.0,2006,Astra 2.0 Ss Flex Power 5p,2.0
Chevrolet,astra,23900.0,175280.0,2009,Astra Astra Hatch Advantage 2.0 8v 4p,2.0
Chevrolet,astra,28990.0,152946.0,2010,Astra Astra Hb 4p Advantage,
Chevrolet,astra,10900.0,0.0,2001,Astra 1.8 Gl 3p,1.8
Chevrolet,astra,22800.0,118000.0,2007,Astra 2.0 Advantage Flex Power 5p,2.0
Chevrolet,astra,10900.0,0.0,2000,Astra Sedan 2.0 16v Gls 4p,2.0
Chevrolet,astra,17500.0,154000.0,2006,Astra 2.0 Elite Flex Power Aut. 5p,2.0
Chevrolet,astra,20000.0,120000.0,2007,Astra Sedan Advantage,
Chevrolet,astra,20000.0,50000.0,2002,Astra 2.0 8v Sunny 3p,2.0
Chevrolet,astra,17900.0,233000.0,2007,Astra Astra Hatch Elegance 2.0 (flex),2.0
Chevrolet,astra,31990.0,100000.0,2011,Astra 2.0 Advantage Flex Power 5p,2.0
Chevrolet,astra,14900.0,140000.0,2000,Astra 2.0 Gls 3p,2.0
Chevrolet,astra,18999.0,170000.0,2007,Astra Sedan 2.0 Advantage Flex Power 4p,2.0
Chevrolet,astra,25900.0,170000.0,2010,Astra 2.0 Advantage Flex Power 5p,2.0
Chevrolet,astra,18900.0,122242.0,2008,Astra Sedan 2.0 Advantage Flex Power 4p,2.0
Chevrolet,astra,20000.0,80000.0,2009,Astra Sedan 2.0 Advantage Flex Power 4p 121 Hp,2.0
Chevrolet,astra,14890.0,209000.0,2003,Astra 2.0 Mpfi Sedan 8v Gasolina 4p Manual,2.0
Chevrolet,astra,12300.0,303000.0,2002,Astra Sedan Astra Expression,
Chevrolet,astra,20890.0,106500.0,2007,Astra 2.0 Mpfi Advantage 8v Flex 2p Manual,2.0
Chevrolet,astra,15900.0,1.0,2003,Astra Sedan Astra Sedan 1.8 Mpfi Comfort Sedan 8v Álcool 4p Manual,1.8
Chevrolet,astra,14900.0,222000.0,2003,Astra Astra 2.0 Completo + 2 Portas,2.0
Chevrolet,astra,15500.0,271000.0,2003,Astra Sedan Astra Sedan 1.8 Mpfi  4p,1.8
Chevrolet,astra,24900.0,223000.0,2004,Astra 2.0 8v 5p,2.0
Chevrolet,astra,28990.0,113649.0,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p,2.0
Chevrolet,astra,13900.0,200000.0,2000,Astra 1.8 Gl 3p,1.8
Chevrolet,astra,21900.0,150.0,2007,Astra 2.0 Advantage Flex Power 5p,2.0
Chevrolet,astra,28990.0,111111.0,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,13000.0,111.0,2003,Astra Sedan 1.8 Sedan 4p,1.8
Chevrolet,astra,23990.0,76000.0,2010,Astra Sedan Astra Sed. Advant. 2.0 8v Mpfi Flexp. 4p,2.0
Chevrolet,astra,26900.0,135000.0,2002,Astra 2.0 8v Sunny 3p,2.0
Chevrolet,astra,19900.0,185600.0,2003,Astra Sedan 2.0 Sfi Cd Sedan 16v,2.0
Chevrolet,astra,25900.0,195265.0,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual,2.0
Chevrolet,astra,26890.0,122000.0,2011,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Automático,2.0
Chevrolet,astra,25900.0,159.0,2009,Astra Astra Hatch Advantage 2.0 8v 4p,2.0
Chevrolet,astra,15900.0,257935.0,2002,Astra Sedan Astra Sed.gl Expression 2.0 4p,2.0
Chevrolet,astra,19900.0,170000.0,2004,Astra Sedan Astra Sedan 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual,2.0
Chevrolet,astra,19900.0,151291.0,2006,Astra 2.0 Elegance Flex Power 5p,2.0
Chevrolet,astra,22990.0,1.0,2008,Astra 2.0 Advantage Flex Power 5p,2.0
Chevrolet,astra,22900.0,99900.0,2006,Astra 2.0 Mpfi Elegance 8v Flex 4p Manual,2.0
Chevrolet,astra,29900.0,122000.0,2011,Astra Astra Hatch Advantage 2.0 4p,2.0
Chevrolet,astra,24900.0,190000.0,2008,Astra 2.0 Mpfi Advantage 8v,2.0
Chevrolet,astra,16900.0,173000.0,2004,Astra Sedan Astra Sedan 2.0 Mpfi  4p,2.0
Chevrolet,astra,59900.0,50000.0,2005,Astra 2.0 16v Gsi 5p,2.0
Chevrolet,Celta,20900.0,148000.0,2012,Celta 1.0 Mpfi Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,18490.0,86000.0,2010,Celta 1.0 Mpfi Vhc Spirit 8v Flex 4p Manual,1.0
Chevrolet,Celta,19990.0,122000.0,2011,Celta Celta Spirit 1.0 Vhce 8v Flexpower 4p Mec.,1.0
Chevrolet,Celta,18900.0,163210.0,2014,Celta 1.0 Ls Flex Power 3p,1.0
Chevrolet,Celta,22865.0,72200.0,2012,Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,11990.0,158000.0,2003,Celta 1.0 5p,1.0
Chevrolet,Celta,13990.0,139.0,2003,Celta 1.0 Mpfi Vhc 8v Gasolina 2p Manual,1.0
Chevrolet,Celta,22999.0,99986.0,2013,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,26499.0,89000.0,2014,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,10900.0,180000.0,2004,Celta 1.0 3p,1.0
Chevrolet,Celta,20900.0,128000.0,2010,Celta 1.0 Mpfi Vhce Spirit 8v,1.0
Chevrolet,Celta,25990.0,98000.0,2014,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,18900.0,163000.0,2010,Celta Celta Hatch Spirit 1.0 Vhc 8v 4p,1.0
Chevrolet,Celta,14900.0,143000.0,2011,Celta 1.0 Life Flex Power 3p,1.0
Chevrolet,Celta,14990.0,147000.0,2005,Celta 1.4 Super 3p,1.4
Chevrolet,Celta,14900.0,75000.0,2009,Celta 1.0 Life Flex Power 5p 77 Hp,1.0
Chevrolet,Celta,26900.0,78000.0,2012,Celta 1.0 Ls Flex Power 5p,1.0
Chevrolet,Celta,12900.0,160000.0,2004,Celta 1.4 3p,1.4
Chevrolet,Celta,11900.0,140000.0,2007,Celta 1.0 Life Flex Power 3p,1.0
Chevrolet,Celta,12900.0,262000.0,2005,Celta 1.0 Spirit 5p,1.0
Chevrolet,Celta,19900.0,74000.0,2013,Celta 1.0 Ls Flex Power 3p,1.0
Chevrolet,Celta,23990.0,171040.0,2012,Celta Celta 1.0 Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,21900.0,77000.0,2013,Celta Celta Lt 1.0 (flex),1.0
Chevrolet,Celta,25900.0,90000.0,2015,Celta Celta 1.0 Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,14890.0,123000.0,2008,Celta 1.0 Life Flex Power 3p,1.0
Chevrolet,Celta,13900.0,0.0,2009,Celta 1.0 Life Flex Power 3p 77 Hp,1.0
Chevrolet,Celta,18900.0,114900.0,2011,Celta Celta Spirit 1.0 Vhce (flex) 2p,1.0
Chevrolet,Celta,22990.0,118610.0,2012,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,21900.0,102000.0,2011,Celta 1.0 Mpfi Vhce Spirit 8v Flex 4p Manual,1.0
Chevrolet,Celta,28990.0,92228.0,2014,Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,27955.0,100123.0,2013,Celta 1.0 Mpfi Lt 8v,1.0
Chevrolet,Celta,19900.0,186000.0,2013,Celta Celta Ls 1.0 (flex) 2p,1.0
Chevrolet,Celta,23900.0,90000.0,2012,Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,21886.0,70000.0,2012,Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,16200.0,130000.0,2012,Celta 1.0 Ls Flex Power 3p,1.0
Chevrolet,Celta,21890.0,127000.0,2010,Celta 1.0 Spirit Flex Power 5p,1.0
Chevrolet,Celta,20799.0,129000.0,2010,Celta Celta Spirit 1.0 Vhc (flex) 4p,1.0
Chevrolet,Celta,9900.0,78000.0,2005,Celta Celta Spirit 1.0 Mpfi Vhc 8v 3p,1.0
Chevrolet,Celta,15489.0,128000.0,2009,Celta 1.0 Life Flex Power 3p 77 Hp,1.0
Chevrolet,Celta,19900.0,118000.0,2012,Celta 1.0 Mpfi Ls 8v Flex 4p Manual,1.0
Chevrolet,Celta,26000.0,31000.0,2012,Celta 1.0 Mpfi Lt 8v,1.0
Chevrolet,Celta,16590.0,112.0,2012,Celta 1.0 Ls Flex Power 3p,1.0
Chevrolet,Celta,27990.0,100.0,2015,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,14900.0,0.0,2010,Celta 1.0 Spirit Flex Power 3p,1.0
Chevrolet,Celta,13990.0,139.0,2003,Celta 1.0 Mpfi 8v Gasolina 2p Manual,1.0
Chevrolet,Celta,21980.0,128.0,2009,Celta 1.0 Spirit Flex Power 5p 77 Hp,1.0
Chevrolet,Celta,24980.0,126776.0,2012,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,23800.0,120000.0,2012,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,18500.0,144687.0,2010,Celta Celta Life/ Ls 1.0 Mpfi 8v Flexpower 3p,1.0
Chevrolet,Celta,20900.0,1.0,2013,Celta Celta 1.0 Mpfi Ls 8v Flex 2p Manual,1.0
Chevrolet,Celta,22865.0,72200.0,2012,Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual,1.0
Chevrolet,Celta,20900.0,128000.0,2010,Celta 1.0 Mpfi Vhce Spirit 8v,1.0
Chevrolet,Celta,25990.0,98000.0,2014,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,18900.0,114900.0,2011,Celta Celta Spirit 1.0 Vhce (flex) 2p,1.0
Chevrolet,Celta,27955.0,100123.0,2013,Celta 1.0 Mpfi Lt 8v,1.0
Chevrolet,Celta,19900.0,186000.0,2013,Celta Celta Ls 1.0 (flex) 2p,1.0
Chevrolet,Celta,15489.0,128000.0,2009,Celta 1.0 Life Flex Power 3p 77 Hp,1.0
Chevrolet,Celta,19900.0,118000.0,2012,Celta 1.0 Mpfi Ls 8v Flex 4p Manual,1.0
Chevrolet,Celta,16590.0,112.0,2012,Celta 1.0 Ls Flex Power 3p,1.0
Chevrolet,Celta,13990.0,139.0,2003,Celta 1.0 Mpfi 8v Gasolina 2p Manual,1.0
Chevrolet,Celta,21900.0,73807.0,2009,Celta 1.0 Spirit Flex Power 5p 77 Hp,1.0
Chevrolet,Celta,15900.0,189000.0,2011,Celta 1.0 Mpfi Vhce Life 8v Flex 2p Manual,1.0
Chevrolet,Celta,29900.0,79000.0,2015,Celta 1.0 Lt Flex Power 5p,1.0
Chevrolet,Celta,16900.0,170000.0,2010,Celta Celta Life/ Ls 1.0 Mpfi 8v Flexpower 3p,1.0
Chevrolet,Celta,18990.0,130000.0,2008,Celta 1.0 Mpfi Life 8v,1.0
Chevrolet,Celta,21900.0,0.0,2013,Celta 1.0 Mpfi Ls 8v Flex 2p Manual,1.0
Chevrolet,Celta,27990.0,138000.0,2014,Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual 2014,1.0
Chevrolet,Celta,16500.0,150000.0,2008,Celta Celta Spirit 1.0 Vhc (flex) 4p,1.0
Chevrolet,Celta,21900.0,84300.0,2011,Celta 1.0 Mpfi Vhce Spirit 8v,1.0
