preco,quilometragem,ano,marca,modelo,informacoes
69890,105000,2011,jeep,Grand,Cherokee 3.6 Limited Aut. 5p
58900,119000,2012,land rover,Rover,Discovery 3.0 Tdv6 S 7l 5p
99990,60000,2014,ford,Ecosport,2.0 16v Se Flex Powershift 5p
45000,142000,2007,toyota,Hilux,Sw4 3.0 Srv 4x4 16v Turbo Intercooler
79990,58000,2018,jeep,Renegade,1.8 Sport Flex Aut. 5p
70000,71000,2017,hyundai,Ix35,2.0 Gls 2wd Flex Aut. 5p
79900,98200,2013,hyundai,Ix35,2.0 Gls 2wd Flex Aut. 5p
61990,0,2020,volkswagem,T-cross,1.0 200 Tsi Aut. 5p
104990,191000,2010,hyundai,Tucson,2.0 Gls 4x2 Aut. 5p
31770,99000,2011,ford,Edge,3.5 Limited Awd 5p
53900,104000,2012,volvo,Xc60,2.0 T5 Comfort 5p
50990,59300,2016,Mitsubishi,Asx,2.0 4wd Cvt 5p
76990,3106,2020,toyota,Hilux,Sw4 2.8 Srx 4x4 7 Lugares 16v Turbo Intercooler
314900,142000,2010,land rover,Rover,Freelander 3.2 S 5p
35000,250000,1997,jeep,Grand,Cherokee 5.9 Limited Lx 5p
26100,24000,2019,honda,Hr-v,1.8 Lx Flex Aut. 5p
96870,110000,2011,volkswagem,Tiguan,2.0 Tsi 16v Turbo
49000,54819,2017,renault,Duster,1.6 16v Dynamique Sce 5p
52900,242000,2003,Mitsubishi,Pajero,Tr4 2.0 5p
28990,44000,2017,jeep,Compass,2.0 Longitude Flex Aut. 5p
84999,119000,2012,Mitsubishi,Outlander,3.0 V6 Gt 4wd 5p
47900,85000,2018,renault,Duster,1.6 16v Expression Sce 5p
56900,138000,2011,kia,Sorento,2.4 Ex 5l 4x2 Aut. 5p
47990,171000,2008,ford,Ecosport,2.0 Xlt 16v
203000,0,2021,renault,Master,2.3 L2h1 2p
136900,0,2021,mercedes,Sprinter,Chassi 2.2 Cdi 314 Street Rs Extra Longo 2p
179900,0,2021,mercedes,Sprinter,Chassi 2.2 Cdi 314 Street Rs Longo 2p
195900,125000,2013,volkswagem,Amarok,2.0 Highline Cab. Dupla 4x4 4p Automática
92900,92000,2016,volkswagem,Amarok,2.0 Highline Cab. Dupla 4x4 4p
126900,82000,2015,toyota,Hilux,2.7 Sr Cab. Dupla 4x2 Flex Aut. 4p
85899,67000,2019,volkswagem,Amarok,2.0 Se Cab. Dupla 4x4 4p
127900,45000,2020,volkswagem,Saveiro,1.6 Robust Cab. Simples Total Flex 2p
52500,122140,1997,ford,Ranger,Ranger Xlt 4.0 V6
49900,185000,2013,ford,Ranger,2.5 Xls Cab. Simples 4x2 Flex 2p
58900,0,2021,fiat,Strada,1.3 Volcano Cab. Dupla 16v Flex 4p
86981,0,2021,fiat,Strada,1.4 Endurance Cab. Plus Flex 2p
64990,65000,2019,chevrolet,S10,2.8 Ls 4x4 Cs 16v Turbo
121900,245000,2008,nissan,Frontier,2.5 Sel Cab. Dupla 4x4 4p
63900,0,2021,fiat,Strada,Freedom 1.3
77990,50000,2020,ford,Ranger,2.2 Xls 4x4 Cd 16v
135900,0,2020,volkswagem,Amarok,3.0 Highline Extreme Cab. Dupla V6 4x4 Aut. 4p
