marca,modelo,motor,ano,quilometragem,novo,preco
citroen,Jumper,2.8,2007,500000,0,82000
fiat,Ducato,2.5,1998,466000,0,55000
kia,Besta,3.0,2004,389000,0,25900
honda,Fit,1.5,2018,16000,0,40900
citroen,Aircross,1.6,2012,112000,0,77990
fiat,Idea,1.8,2011,93000,0,37889
honda,Fit,1.5,2015,66000,0,33889
chevrolet,Spin,1.8,2016,86429,0,49990
peugeot,2008,1.6,2019,59270,0,49900
citroen,Aircross,1.6,2014,105000,0,53690
peugeot,2008,1.6,2017,41000,0,35900
honda,Fit,1.5,2018,46000,0,51980
fiat,Doblo,1.8,2004,382000,0,69900
honda,Fit,1.4,2009,184000,0,22990
honda,Fit,1.5,2014,68000,0,25900
chevrolet,Spin,1.8,2014,91000,0,46500
honda,Fit,1.4,2005,80000,0,36500
chevrolet,Meriva,1.8,2007,207000,0,26900
chevrolet,Spin,1.8,2015,92000,0,18870
chevrolet,Meriva,1.8,2008,135000,0,48900
honda,Fit,1.4,2013,140000,0,21000
mercedes,Classe,2.0,2009,104000,0,33490
chevrolet,Spin,1.8,2020,11200,0,26200
honda,Fit,1.5,2020,1600,0,71500
honda,Fit,1.4,2010,116000,0,85900
citroen,Aircross,1.6,2011,139000,0,31990
peugeot,2008,1.6,2016,149000,0,31990
chevrolet,Spin,1.8,2020,31800,0,44990
mercedes,Classe,2.0,2007,85000,0,81890
honda,Fit,1.4,2006,180000,0,34800
mercedes,Classe,1.6,2004,189000,0,19490
bmw,225i,2.0,2015,65000,0,13999
fiat,Idea,1.6,2013,91000,0,90999
chrysler,Pt,2.4,2009,73800,0,28300
honda,Fit,1.4,2005,90900,0,24999
peugeot,2008,1.6,2017,45320,0,21900
chevrolet,Spin,1.8,2013,109000,0,53890
chevrolet,Spin,1.8,2018,48000,0,41900
fiat,Idea,1.4,2012,104000,0,58900
citroen,Aircross,1.6,2011,86000,0,27500
fiat,Idea,1.8,2011,88200,0,30990
honda,Fit,1.5,2015,98000,0,29000
honda,Fit,1.4,2013,118000,0,50500
fiat,Idea,1.6,2011,1,0,36900
chevrolet,Meriva,1.4,2012,1,0,24900
chevrolet,Spin,1.8,2014,135000,0,22500
honda,Fit,1.4,2009,110000,0,33990
mercedes,Classe,2.0,2015,79000,0,30800
chevrolet,Spin,1.8,2018,45000,0,120000
honda,Fit,1.5,2017,36000,0,59900
honda,Fit,1.4,2009,152000,0,62800
peugeot,Expert,1.6,2020,0,1,115490
citroen,Jumpy,,2021,0,1,159900
jinbei,Topic,2.0,2015,1,0,163900
jinbei,Topic,2.0,2012,116271,0,49900
citroen,Xsara,1.6,2008,104000,0,27900
citroen,Jumpy,,2021,0,1,16990
chevrolet,Zafira,2.0,2009,144000,0,163900
fiat,Freemont,2.4,2015,100,0,29990
nissan,Livina,1.6,2011,90000,0,74900
peugeot,Expert,,2020,0,1,26990
citroen,Jumper,,2007,1,0,159900
volkswagem,Kombi,,2012,98884,0,53900
fiat,Doblo,1.8,2020,47600,0,55000
jac,J6,2.0,2012,69000,0,81879
jac,J6,2.0,2015,112521,0,26490
chevrolet,Zafira,2.0,2012,1,0,37900
honda,Fit,1.5,2020,0,1,25991
fiat,Doblo,1.8,2018,35000,0,70000
nissan,Livina,1.8,2012,133000,0,63990
dodge,Journey,3.6,2012,109000,0,26890
nissan,Livina,1.6,2014,110000,0,45990
mercedes,B200,1.6,2014,77000,0,28890
fiat,Doblo,1.8,2008,145000,0,62990
honda,Fit,1.4,2013,105000,0,26900
citroen,Xsara,1.6,2010,90000,0,34990
citroen,C4,2.0,2009,140000,0,21400
dodge,Journey,3.6,2012,134000,0,26890
chrysler,Town,3.8,2008,121500,0,45990
fiat,Freemont,2.4,2012,100000,0,49900
chevrolet,Spin,1.8,2018,63000,0,41890
